subjid,group,food,taste_rating,health_rating
sub-FCT006,HC,rigatoni and sauce.jpg,4.0,2.0
sub-FCT006,HC,turkey sandwich.jpg,3.0,3.0
sub-FCT006,HC,PB.jpg,3.0,3.0
sub-FCT006,HC,Whole milk.jpg,2.0,2.0
sub-FCT006,HC,doughnuts.jpg,4.0,1.0
sub-FCT006,HC,Tribe humus pita.jpg,4.0,4.0
sub-FCT006,HC,fried eggs.jpg,2.0,3.0
sub-FCT006,HC,Hershey Kisses.jpg,,2.0
sub-FCT006,HC,celery and carrot sticks.jpg,2.0,5.0
sub-FCT006,HC,grilled cheese.jpg,4.0,1.0
sub-FCT006,HC,peaches.jpg,4.0,5.0
sub-FCT006,HC,trail mix.jpg,2.0,4.0
sub-FCT006,HC,apple slices.jpg,3.0,5.0
sub-FCT006,HC,sour patch.jpg,4.0,1.0
sub-FCT006,HC,baked potato.jpg,2.0,2.0
sub-FCT006,HC,mashed potato.jpg,2.0,1.0
sub-FCT006,HC,american cheese.jpg,4.0,3.0
sub-FCT006,HC,cookies.jpg,5.0,1.0
sub-FCT006,HC,grilled chicken strips.jpg,3.0,4.0
sub-FCT006,HC,mozarella sticks.jpg,4.0,1.0
sub-FCT006,HC,banana.jpg,3.0,5.0
sub-FCT006,HC,tacos.jpg,3.0,3.0
sub-FCT006,HC,air popcorn.jpg,3.0,3.0
sub-FCT006,HC,bagel plain.jpg,2.0,2.0
sub-FCT006,HC,cherry tomato.jpg,3.0,5.0
sub-FCT006,HC,chicken nuggets2.jpg,3.0,2.0
sub-FCT006,HC,pizza.jpg,5.0,2.0
sub-FCT006,HC,Cheese nachos.jpg,3.0,
sub-FCT006,HC,french fries.jpg,3.0,2.0
sub-FCT006,HC,soup with spoon.jpg,2.0,2.0
sub-FCT006,HC,reeses.jpg,5.0,1.0
sub-FCT006,HC,baby cheese.jpg,4.0,3.0
sub-FCT006,HC,raisins.jpg,1.0,5.0
sub-FCT006,HC,rigatoni.jpg,2.0,2.0
sub-FCT006,HC,eggs.jpg,2.0,3.0
sub-FCT006,HC,green beans.jpg,3.0,5.0
sub-FCT006,HC,hotdog w must.jpg,,2.0
sub-FCT006,HC,saltines.jpg,2.0,3.0
sub-FCT006,HC,granola w milk.jpg,3.0,3.0
