subjid,group,ref_food,alt_food,choice_rating
sub-FCT005,HC,string cheese.jpg,brownie.jpg,2
sub-FCT005,HC,string cheese.jpg,soy chips.jpg,1
sub-FCT005,HC,string cheese.jpg,rigatoni and sauce.jpg,2
sub-FCT005,HC,string cheese.jpg,steak.jpg,5
sub-FCT005,HC,string cheese.jpg,sour patch.jpg,2
sub-FCT005,HC,string cheese.jpg,corn cob.jpg,4
sub-FCT005,HC,string cheese.jpg,cucumber slices.jpg,4
sub-FCT005,HC,string cheese.jpg,Skim milk.jpg,2
sub-FCT005,HC,string cheese.jpg,mac & cheese.jpg,1
sub-FCT005,HC,string cheese.jpg,orange slices.jpg,4
sub-FCT005,HC,string cheese.jpg,cherry tomato.jpg,4
sub-FCT005,HC,string cheese.jpg,Whole milk.jpg,5
sub-FCT005,HC,string cheese.jpg,apple slices.jpg,4
sub-FCT005,HC,string cheese.jpg,reeses.jpg,5
sub-FCT005,HC,string cheese.jpg,seaweed.jpg,1
sub-FCT005,HC,string cheese.jpg,mozarella sticks.jpg,1
sub-FCT005,HC,string cheese.jpg,broccoli cauliflower.jpg,4
sub-FCT005,HC,string cheese.jpg,Cheese nachos.jpg,1
sub-FCT005,HC,string cheese.jpg,chicken nuggets2.jpg,1
sub-FCT005,HC,string cheese.jpg,mushrooms.jpg,1
sub-FCT005,HC,string cheese.jpg,turkey sandwich.jpg,5
sub-FCT005,HC,string cheese.jpg,yellow popcorn.jpg,4
sub-FCT005,HC,string cheese.jpg,m_and_m.jpg,5
sub-FCT005,HC,string cheese.jpg,cherries.jpg,4
sub-FCT005,HC,string cheese.jpg,ritz.jpg,4
sub-FCT005,HC,string cheese.jpg,pickles.jpg,5
sub-FCT005,HC,string cheese.jpg,saltines.jpg,2
sub-FCT005,HC,string cheese.jpg,froot loops w milk.jpg,5
sub-FCT005,HC,string cheese.jpg,baguette oil.jpg,5
sub-FCT005,HC,string cheese.jpg,cookies.jpg,5
sub-FCT006,HC,PB.jpg,yogurt pretzels.jpg,5
sub-FCT006,HC,PB.jpg,mozarella sticks.jpg,5
sub-FCT006,HC,PB.jpg,yogurt no spoon.jpg,4
sub-FCT006,HC,PB.jpg,corn cob.jpg,4
sub-FCT006,HC,PB.jpg,1%milk.jpg,2
sub-FCT006,HC,PB.jpg,reeses.jpg,5
